max_depth,n_estimators,val_f2_score,test_f2_score
2,100,0.8509523477281714,0.8522843482519004
2,200,0.859341697680987,0.8597909198958388
2,500,0.8655773703037851,0.8667617296942768
5,100,0.8676934675805967,0.8679879911776973
5,200,0.8686037524558002,0.8702580861574782
5,500,0.8656398691683347,0.8688695625341561
10,100,0.8641247527326766,0.865683569225861
10,200,0.8601264768684453,0.8604570473121707
10,500,0.851706796272146,0.8521823290544736
