dropout_rate,patience,history:,test_f2_score
0.1,5,"{'loss': [0.2155618518590927, 0.18069636821746826, 0.1678265631198883, 0.15791217982769012, 0.15160508453845978, 0.14844833314418793, 0.14344537258148193, 0.1406351923942566, 0.13768446445465088, 0.13470768928527832, 0.1330738365650177, 0.13011434674263, 0.12905560433864594, 0.12686719000339508, 0.12573525309562683, 0.12457149475812912, 0.12315353751182556, 0.12099992483854294, 0.12101463228464127, 0.1190231665968895, 0.11758662760257721, 0.11740610748529434, 0.11652585119009018, 0.11626031994819641, 0.11461982131004333, 0.11409489065408707, 0.11345000565052032, 0.11272605508565903, 0.112360879778862, 0.11109528690576553, 0.11158417910337448, 0.10998046398162842, 0.10899940878152847, 0.1085360124707222, 0.10750873386859894, 0.10794727504253387, 0.10700159519910812, 0.10666679590940475, 0.10690733790397644], 'fbeta_score_K': [0.6389853358268738, 0.6909007430076599, 0.7148135900497437, 0.7319627404212952, 0.7434954643249512, 0.7482454180717468, 0.7569320201873779, 0.7624073624610901, 0.7671128511428833, 0.7715005278587341, 0.775360643863678, 0.7800836563110352, 0.7819798588752747, 0.7859028577804565, 0.7878056168556213, 0.7894437909126282, 0.7920231819152832, 0.7959046959877014, 0.7958457469940186, 0.7991263270378113, 0.8023332357406616, 0.8020485043525696, 0.8039490580558777, 0.8038427233695984, 0.8074466586112976, 0.8079670667648315, 0.8087778091430664, 0.8106163144111633, 0.8112694025039673, 0.8126227259635925, 0.8129851222038269, 0.8146358728408813, 0.8165845274925232, 0.8171875476837158, 0.8191943764686584, 0.8191617727279663, 0.8197154402732849, 0.8205274939537048, 0.8200539350509644], 'val_loss': [0.27976951003074646, 0.26595038175582886, 0.19887448847293854, 0.2025921791791916, 0.15714424848556519, 0.17402711510658264, 0.16161902248859406, 0.13847051560878754, 0.13458429276943207, 0.13749833405017853, 0.13031990826129913, 0.1352076232433319, 0.13948285579681396, 0.13384917378425598, 0.1325932741165161, 0.1290123462677002, 0.13674598932266235, 0.12362562865018845, 0.12397944927215576, 0.12469835579395294, 0.11606226861476898, 0.12646222114562988, 0.11359020322561264, 0.12016501277685165, 0.1145341694355011, 0.12339344620704651, 0.11549708992242813, 0.11200777441263199, 0.11101756244897842, 0.14676806330680847, 0.12483169138431549, 0.12636929750442505, 0.11781066656112671, 0.10903401672840118, 0.11148885637521744, 0.11162795126438141, 0.11842570453882217, 0.12204252183437347, 0.10948345065116882], 'val_fbeta_score_K': [0.5289111733436584, 0.592581570148468, 0.6469870805740356, 0.6788226962089539, 0.741895318031311, 0.6944327354431152, 0.7357298135757446, 0.7705381512641907, 0.7819710373878479, 0.7707148790359497, 0.7916611433029175, 0.7801671028137207, 0.7794864177703857, 0.7792425751686096, 0.7983460426330566, 0.7847796678543091, 0.7872052192687988, 0.8121141195297241, 0.8010637164115906, 0.8075835108757019, 0.813443124294281, 0.8053753972053528, 0.8163977861404419, 0.8007499575614929, 0.8173660635948181, 0.8026857376098633, 0.8161633014678955, 0.8158247470855713, 0.822873592376709, 0.801142156124115, 0.802530825138092, 0.8007982969284058, 0.8219831585884094, 0.8281285762786865, 0.8363533616065979, 0.8231179714202881, 0.8145408034324646, 0.8201092481613159, 0.8279706835746765], 'lr': [1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04]}",0.8928851867394669
0.1,10,"{'loss': [0.2198447436094284, 0.1827165186405182, 0.16454410552978516, 0.15576116740703583, 0.14866341650485992, 0.14532865583896637, 0.1408810019493103, 0.13805459439754486, 0.13550491631031036, 0.13266487419605255, 0.13089190423488617, 0.12845630943775177, 0.12602677941322327, 0.12514923512935638, 0.1232590600848198, 0.12240107357501984, 0.12053816765546799, 0.120804063975811, 0.11882568150758743, 0.11746104061603546, 0.11684541404247284, 0.11507827788591385, 0.11481088399887085, 0.11435975879430771, 0.11389786750078201, 0.11242550611495972, 0.11205685138702393, 0.1115560531616211, 0.1103723794221878, 0.10953592509031296, 0.11036062985658646, 0.10882139205932617, 0.10880926996469498, 0.1073867604136467, 0.10805345326662064, 0.10710152238607407, 0.1070125550031662, 0.10623080283403397, 0.10550674796104431, 0.10497462749481201], 'fbeta_score_K': [0.6367226839065552, 0.687278687953949, 0.7194620370864868, 0.7363321781158447, 0.7480204105377197, 0.7543644905090332, 0.7617983222007751, 0.7666200995445251, 0.7706923484802246, 0.7758947014808655, 0.7785159945487976, 0.783372700214386, 0.7874882221221924, 0.7890242338180542, 0.7925881147384644, 0.7933999300003052, 0.7970711588859558, 0.7969543933868408, 0.7995306253433228, 0.8023294806480408, 0.8033948540687561, 0.8059266209602356, 0.806270956993103, 0.8081920146942139, 0.8085162043571472, 0.8104926943778992, 0.8113567233085632, 0.8121844530105591, 0.814228892326355, 0.815317690372467, 0.8146419525146484, 0.8164071440696716, 0.8173842430114746, 0.8196414709091187, 0.8180497884750366, 0.8197660446166992, 0.8200200796127319, 0.821245551109314, 0.8223500847816467, 0.8229777812957764], 'val_loss': [0.2853247821331024, 0.3191276490688324, 0.22645390033721924, 0.16088958084583282, 0.1493735909461975, 0.15051908791065216, 0.14412729442119598, 0.14497089385986328, 0.14538565278053284, 0.14917580783367157, 0.12637293338775635, 0.1416885256767273, 0.13001535832881927, 0.12136320024728775, 0.14112979173660278, 0.12179475277662277, 0.12528270483016968, 0.12522856891155243, 0.11536791175603867, 0.1614726185798645, 0.13212691247463226, 0.11466971039772034, 0.11798996478319168, 0.12205427139997482, 0.13171765208244324, 0.11146131157875061, 0.11448877304792404, 0.11482731252908707, 0.11432157456874847, 0.10635526478290558, 0.12144657969474792, 0.1142905130982399, 0.1214655190706253, 0.11218670755624771, 0.11110860109329224, 0.13917361199855804, 0.10646023601293564, 0.11003068834543228, 0.13794605433940887, 0.11561015248298645], 'val_fbeta_score_K': [0.5025057196617126, 0.4347239136695862, 0.6488385796546936, 0.7213082313537598, 0.740856945514679, 0.7566395401954651, 0.748106837272644, 0.7530972361564636, 0.7438979744911194, 0.7795040011405945, 0.7861176133155823, 0.7639176845550537, 0.7905861139297485, 0.7969876527786255, 0.7671148180961609, 0.7938733100891113, 0.7973002791404724, 0.8067840337753296, 0.806807279586792, 0.763644278049469, 0.7910049557685852, 0.8161216378211975, 0.8044865131378174, 0.8084824681282043, 0.8055164217948914, 0.8176104426383972, 0.8230171203613281, 0.8157805800437927, 0.8164817690849304, 0.8336340188980103, 0.8040026426315308, 0.815150260925293, 0.83182293176651, 0.8223515152931213, 0.8370945453643799, 0.8180928230285645, 0.8338268399238586, 0.8239646553993225, 0.798913836479187, 0.8304863572120667], 'lr': [1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04]}",0.8922372100294622
0.1,20,"{'loss': [0.21369341015815735, 0.1795995533466339, 0.16211408376693726, 0.15479899942874908, 0.14924871921539307, 0.14603574573993683, 0.14141875505447388, 0.13871285319328308, 0.13673439621925354, 0.13372720777988434, 0.13137102127075195, 0.12887638807296753, 0.12764646112918854, 0.12630966305732727, 0.12412164360284805, 0.1223149225115776, 0.12110953778028488, 0.1218283399939537, 0.11940096318721771, 0.1189938634634018, 0.11774422973394394, 0.11703064292669296, 0.11631803214550018, 0.11549876630306244, 0.11455630511045456, 0.1142812967300415, 0.11274747550487518, 0.11236239224672318, 0.11183594167232513, 0.1111675500869751, 0.11050967127084732, 0.10996449738740921, 0.10982923954725266, 0.10944315791130066, 0.1089094802737236, 0.10802609473466873, 0.10728198289871216, 0.1066226065158844, 0.10590337216854095, 0.10587580502033234, 0.10551123321056366, 0.10477208346128464, 0.10502710193395615, 0.10436641424894333, 0.10398587584495544, 0.10284407436847687, 0.1032283678650856, 0.10304606705904007, 0.10213585942983627, 0.10195787250995636, 0.10145024955272675, 0.10117361694574356, 0.10055701434612274, 0.10024815797805786, 0.0994681641459465, 0.09925663471221924, 0.09959331899881363, 0.09929388761520386, 0.09871101379394531, 0.09853799641132355, 0.0984458401799202, 0.09804017841815948, 0.09725788235664368, 0.09701783210039139, 0.09677165746688843, 0.09666620939970016, 0.09607887268066406, 0.09617187827825546, 0.09540695697069168, 0.09496839344501495, 0.09550534188747406, 0.09492235630750656, 0.0946606993675232, 0.09432527422904968, 0.09469582140445709, 0.09366315603256226, 0.09297987818717957, 0.09340279549360275, 0.09316223859786987, 0.09317192435264587, 0.08924891799688339, 0.08831914514303207, 0.08726388216018677, 0.0874459370970726, 0.08712355047464371, 0.08689884096384048, 0.08645805716514587, 0.08642025291919708, 0.0860278457403183, 0.08598949015140533, 0.08613765239715576, 0.08603604137897491, 0.08555758744478226, 0.08509518206119537, 0.08571891486644745, 0.08515319228172302, 0.08568047732114792, 0.08517756313085556, 0.08547887951135635, 0.08488421887159348], 'fbeta_score_K': [0.6395551562309265, 0.6930067539215088, 0.7241993546485901, 0.7370516061782837, 0.7471501231193542, 0.7528510689735413, 0.760016679763794, 0.7649121284484863, 0.7688490152359009, 0.77325439453125, 0.7775421738624573, 0.7821421027183533, 0.7841632962226868, 0.7868108153343201, 0.7902039885520935, 0.7935435771942139, 0.7956600785255432, 0.7948970794677734, 0.7983886003494263, 0.7994784116744995, 0.8017097115516663, 0.8023871779441833, 0.8040394186973572, 0.8051987886428833, 0.8069618344306946, 0.8078987002372742, 0.8103188872337341, 0.8106876015663147, 0.8118041157722473, 0.8131002187728882, 0.8143364787101746, 0.814996600151062, 0.8152319192886353, 0.8158991932868958, 0.8171162009239197, 0.8179305791854858, 0.8195904493331909, 0.8201592564582825, 0.821625292301178, 0.8217313289642334, 0.8227152228355408, 0.8237687349319458, 0.8233150243759155, 0.8246439695358276, 0.8250942826271057, 0.8268337249755859, 0.8261473774909973, 0.8265294432640076, 0.8280724883079529, 0.8285061120986938, 0.8293084502220154, 0.8296633362770081, 0.8308793902397156, 0.8313952088356018, 0.832378089427948, 0.8332474231719971, 0.8324613571166992, 0.8326181769371033, 0.8340980410575867, 0.8340176939964294, 0.8343004584312439, 0.8345705270767212, 0.8362899422645569, 0.8357916474342346, 0.8366195559501648, 0.8369408845901489, 0.8380546569824219, 0.8380240201950073, 0.8384236097335815, 0.8400002717971802, 0.8388579487800598, 0.839894711971283, 0.8402302265167236, 0.8412855267524719, 0.8402209281921387, 0.8415916562080383, 0.8424665927886963, 0.8428577780723572, 0.8425790667533875, 0.8426607847213745, 0.8474012017250061, 0.8493613004684448, 0.8507658243179321, 0.8508107662200928, 0.8515720367431641, 0.8518959879875183, 0.8521050810813904, 0.8524389266967773, 0.8528562188148499, 0.8531509041786194, 0.8530000448226929, 0.8528107404708862, 0.8522823452949524, 0.8531327247619629, 0.8532059192657471, 0.8534401059150696, 0.8532533645629883, 0.8537755608558655, 0.8540732264518738, 0.8538927435874939], 'val_loss': [0.30532747507095337, 0.33479875326156616, 0.2305668294429779, 0.15560095012187958, 0.16932247579097748, 0.14707909524440765, 0.1464235484600067, 0.14316397905349731, 0.14393411576747894, 0.1517113596200943, 0.13329413533210754, 0.13230372965335846, 0.1642608493566513, 0.1245289146900177, 0.13309317827224731, 0.1261138767004013, 0.12030996382236481, 0.12252452969551086, 0.1233280673623085, 0.11637615412473679, 0.1310444474220276, 0.11967318505048752, 0.11699195206165314, 0.12056925147771835, 0.11594068259000778, 0.13702194392681122, 0.12659117579460144, 0.11306098103523254, 0.11645015329122543, 0.11479488760232925, 0.11336538195610046, 0.1225566491484642, 0.1283245086669922, 0.11065893620252609, 0.11521821469068527, 0.11543642729520798, 0.1656571626663208, 0.12127438932657242, 0.1209241971373558, 0.10494471341371536, 0.10866318643093109, 0.10597724467515945, 0.10938551276922226, 0.10707375407218933, 0.1092744991183281, 0.10611540079116821, 0.10750432312488556, 0.11331723630428314, 0.10735457390546799, 0.11238719522953033, 0.10249883681535721, 0.10862765461206436, 0.10284686088562012, 0.1080603301525116, 0.10717673599720001, 0.115288145840168, 0.10380634665489197, 0.12100031971931458, 0.11347425729036331, 0.1088528037071228, 0.11443261802196503, 0.10468333214521408, 0.10482855141162872, 0.10292825847864151, 0.10920611768960953, 0.1051991730928421, 0.10371968895196915, 0.10032078623771667, 0.10753519088029861, 0.10397754609584808, 0.12222744524478912, 0.10698690265417099, 0.10481038689613342, 0.1150604635477066, 0.1014656126499176, 0.1060173287987709, 0.11030265688896179, 0.10185069590806961, 0.10288408398628235, 0.10093354433774948, 0.09806820005178452, 0.09843061864376068, 0.0990675762295723, 0.09815546870231628, 0.09804234653711319, 0.09876812994480133, 0.10033953189849854, 0.09889736771583557, 0.09871844202280045, 0.09914270043373108, 0.09807919710874557, 0.09981832653284073, 0.09873723238706589, 0.09871017932891846, 0.0986839160323143, 0.09878133237361908, 0.09872879087924957, 0.09873556345701218, 0.09882048517465591, 0.09886656701564789], 'val_fbeta_score_K': [0.5468801856040955, 0.536447286605835, 0.6775978207588196, 0.7328832149505615, 0.7313790321350098, 0.7490032315254211, 0.7555737495422363, 0.7666575312614441, 0.7452055811882019, 0.7450661659240723, 0.7858455181121826, 0.796571671962738, 0.7401111125946045, 0.799627423286438, 0.7859136462211609, 0.7885052561759949, 0.7943695783615112, 0.7973453402519226, 0.8024624586105347, 0.8083200454711914, 0.7780561447143555, 0.8027750849723816, 0.8127954006195068, 0.8038482666015625, 0.8137996196746826, 0.7855489253997803, 0.7980417609214783, 0.8152063488960266, 0.817547619342804, 0.8125285506248474, 0.8198366165161133, 0.8064640760421753, 0.8003804087638855, 0.8289152979850769, 0.819307804107666, 0.8157421946525574, 0.772335946559906, 0.806877076625824, 0.8101361393928528, 0.8301126956939697, 0.834729790687561, 0.8341487050056458, 0.8339195251464844, 0.8337452411651611, 0.8338764309883118, 0.8326994776725769, 0.834320068359375, 0.8323484659194946, 0.8310699462890625, 0.8218539953231812, 0.838234007358551, 0.8308187127113342, 0.8348599076271057, 0.8344671130180359, 0.8403860926628113, 0.828250527381897, 0.8367331027984619, 0.822292685508728, 0.8235036730766296, 0.837216854095459, 0.826478123664856, 0.8387455940246582, 0.8384997844696045, 0.8418954610824585, 0.8286431431770325, 0.8470783829689026, 0.8471400737762451, 0.8415589332580566, 0.8420272469520569, 0.8439257144927979, 0.8180269598960876, 0.8405793905258179, 0.8470192551612854, 0.8322635889053345, 0.8441166877746582, 0.8375439643859863, 0.8437641263008118, 0.8409626483917236, 0.8463472723960876, 0.8501052260398865, 0.8525502681732178, 0.8522412776947021, 0.8541648983955383, 0.8542136549949646, 0.8540086150169373, 0.8548109531402588, 0.8532207608222961, 0.854580819606781, 0.854030966758728, 0.8533050417900085, 0.8538046479225159, 0.8527646660804749, 0.8546077609062195, 0.8550552725791931, 0.8549185395240784, 0.855003833770752, 0.8556262850761414, 0.8554561734199524, 0.8549878001213074, 0.8552604913711548], 'lr': [1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-05, 1e-05, 1e-05, 1e-05, 1e-05, 1e-05, 1e-05, 1e-05, 1e-05, 1e-05, 1e-05, 1e-05, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]}",0.9022004774410367
0.25,5,"{'loss': [0.2322988659143448, 0.19618546962738037, 0.17996491491794586, 0.16991397738456726, 0.16340456902980804, 0.15760371088981628, 0.15270496904850006, 0.14957080781459808, 0.14673705399036407, 0.14308741688728333, 0.14051863551139832, 0.13766708970069885, 0.13631607592105865, 0.13484467566013336, 0.13260096311569214, 0.13132335245609283, 0.12924809753894806, 0.12821798026561737, 0.1265004724264145, 0.126235693693161, 0.12492994219064713, 0.12378332018852234, 0.12242189794778824, 0.12184416502714157, 0.12074214965105057, 0.120038241147995, 0.1189938560128212, 0.11785799264907837, 0.11718788743019104, 0.11659078299999237, 0.11550919711589813, 0.1157912164926529], 'fbeta_score_K': [0.6132974624633789, 0.6644277572631836, 0.6930075883865356, 0.7107288837432861, 0.7222393751144409, 0.7329205870628357, 0.7403897643089294, 0.7465226650238037, 0.7510713338851929, 0.7565462589263916, 0.761229932308197, 0.7666548490524292, 0.7690740823745728, 0.7713330388069153, 0.7753238081932068, 0.777985692024231, 0.7812764048576355, 0.783100962638855, 0.7861184477806091, 0.7858639359474182, 0.7891961336135864, 0.7909089922904968, 0.7930646538734436, 0.7937623858451843, 0.7964760661125183, 0.7971184849739075, 0.798966109752655, 0.8009805679321289, 0.8022938370704651, 0.8035062551498413, 0.8055883049964905, 0.805121123790741], 'val_loss': [0.3016412854194641, 0.3212108910083771, 0.26347965002059937, 0.2479260265827179, 0.21482473611831665, 0.21060770750045776, 0.19429238140583038, 0.1972018927335739, 0.17385689914226532, 0.1901496946811676, 0.1623377799987793, 0.16874068975448608, 0.15976141393184662, 0.15568464994430542, 0.14523878693580627, 0.15386345982551575, 0.14893029630184174, 0.14280883967876434, 0.168050155043602, 0.1381113976240158, 0.1532362997531891, 0.13628022372722626, 0.13537493348121643, 0.13362355530261993, 0.15035419166088104, 0.12582799792289734, 0.12018273770809174, 0.13207994401454926, 0.15747563540935516, 0.12720344960689545, 0.12708203494548798, 0.12682346999645233], 'val_fbeta_score_K': [0.5640373826026917, 0.582301139831543, 0.6221065521240234, 0.6613070964813232, 0.6922042965888977, 0.7046543955802917, 0.7058249711990356, 0.7062029838562012, 0.7227603197097778, 0.7168657779693604, 0.7335636019706726, 0.7356692552566528, 0.7494693994522095, 0.7409228682518005, 0.7595410346984863, 0.7551175355911255, 0.7520683407783508, 0.7689674496650696, 0.7541395425796509, 0.7857580780982971, 0.7803512811660767, 0.784305214881897, 0.7903943061828613, 0.7747257947921753, 0.770296037197113, 0.8005723357200623, 0.8047477006912231, 0.7801966667175293, 0.7749099135398865, 0.7891640067100525, 0.8016510009765625, 0.8025474548339844], 'lr': [1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04]}",0.8769977303486642
0.25,10,"{'loss': [0.22822752594947815, 0.19635914266109467, 0.17858625948429108, 0.1662243753671646, 0.1585487276315689, 0.15313203632831573, 0.14861954748630524, 0.14605937898159027, 0.14224810898303986, 0.1404990553855896, 0.13776811957359314, 0.13657717406749725, 0.13453981280326843, 0.13313305377960205, 0.13112647831439972, 0.12911401689052582, 0.12866820394992828, 0.1267257034778595, 0.1260853111743927, 0.12408633530139923, 0.12379615008831024, 0.12264687567949295, 0.12119891494512558, 0.12099011987447739, 0.11994335800409317, 0.11969256401062012, 0.11805173754692078, 0.1172928586602211, 0.11636605113744736, 0.11659727990627289, 0.11531484127044678, 0.11465875059366226, 0.11511561274528503, 0.11335109174251556, 0.11412876099348068, 0.11338089406490326, 0.11181223392486572, 0.11197018623352051, 0.11150594800710678, 0.11146168410778046, 0.11070214956998825, 0.11067899316549301, 0.10933049768209457, 0.10940670967102051, 0.10850299149751663], 'fbeta_score_K': [0.6246883273124695, 0.6631631255149841, 0.6950781345367432, 0.7177536487579346, 0.7313457727432251, 0.7396774888038635, 0.7476426362991333, 0.7529852390289307, 0.758911669254303, 0.762413740158081, 0.7664663195610046, 0.7692529559135437, 0.7725737690925598, 0.7746527194976807, 0.7787267565727234, 0.7815486192703247, 0.7829830646514893, 0.7855482697486877, 0.7868991494178772, 0.7909762263298035, 0.7908152937889099, 0.7930680513381958, 0.7953231334686279, 0.7963862419128418, 0.7975513339042664, 0.7985417246818542, 0.8008672595024109, 0.8015924692153931, 0.8045254945755005, 0.8031867146492004, 0.8056111931800842, 0.8067920804023743, 0.8056236505508423, 0.8091391324996948, 0.8076019287109375, 0.8093104362487793, 0.8112978339195251, 0.8110339641571045, 0.8122413754463196, 0.8124333024024963, 0.8134906888008118, 0.8136268854141235, 0.8158367872238159, 0.8158710598945618, 0.8166846036911011], 'val_loss': [0.3085569143295288, 0.3481275737285614, 0.33615729212760925, 0.22488509118556976, 0.19453869760036469, 0.16179677844047546, 0.17159447073936462, 0.1527494192123413, 0.16278612613677979, 0.14945060014724731, 0.1461218297481537, 0.15887227654457092, 0.13396616280078888, 0.1439114212989807, 0.13791464269161224, 0.13892586529254913, 0.13311006128787994, 0.13448189198970795, 0.13116072118282318, 0.1480545848608017, 0.17166702449321747, 0.16522447764873505, 0.13124701380729675, 0.1242423951625824, 0.14427819848060608, 0.13179521262645721, 0.1207527220249176, 0.1250789314508438, 0.1240868791937828, 0.12295171618461609, 0.11438478529453278, 0.11832186579704285, 0.18911390006542206, 0.12953893840312958, 0.1131962239742279, 0.12673185765743256, 0.1271388828754425, 0.12728264927864075, 0.12628772854804993, 0.12143464386463165, 0.11723387241363525, 0.1163107380270958, 0.11578823626041412, 0.12803862988948822, 0.11321303248405457], 'val_fbeta_score_K': [0.5844084620475769, 0.5926679372787476, 0.6288881301879883, 0.6786208152770996, 0.680969774723053, 0.718866765499115, 0.7188358902931213, 0.7301359176635742, 0.7308802008628845, 0.7432526350021362, 0.7489951848983765, 0.7235993146896362, 0.7658700942993164, 0.7557759284973145, 0.7597250938415527, 0.7587353587150574, 0.7791532874107361, 0.7773699164390564, 0.7870973944664001, 0.761597752571106, 0.731034517288208, 0.7443539500236511, 0.7962402105331421, 0.8020896315574646, 0.7756050825119019, 0.7900359034538269, 0.7996686100959778, 0.7959495186805725, 0.7970651984214783, 0.80144202709198, 0.8095499873161316, 0.8052957653999329, 0.7372322678565979, 0.7963209748268127, 0.8232775926589966, 0.7895995378494263, 0.7895178198814392, 0.8105342388153076, 0.8059213161468506, 0.8079538345336914, 0.8260960578918457, 0.8161136507987976, 0.8214035630226135, 0.8151867389678955, 0.8169439435005188], 'lr': [1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04]}",0.8787475986750918
